regulador	V2	regulado	especie	V5	FT
Solyc06g060490	regulates	Solyc03g121870	Solanum lycopersicum	FunTFBS, motif	bZIP
Solyc06g060490	regulates	Solyc03g122040	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc03g124110	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g005460	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g005700	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc04g007460	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc04g008390	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc04g009210	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g015240	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g016510	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc04g018140	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g024770	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g025060	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g025070	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g025080	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g026100	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g050820	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g051340	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc04g052900	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g054320	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc04g054710	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g056690	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g058010	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g063430	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g064580	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc04g064630	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g071770	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc04g072820	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc04g076120	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g076260	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc04g076710	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g076760	Solanum lycopersicum	FunTFBS, motif	bZIP
Solyc06g060490	regulates	Solyc04g077020	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc04g077140	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc04g077700	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc04g078420	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc04g078520	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g078880	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc04g080350	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g080360	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g080380	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g081500	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc04g082720	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc04g082940	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc05g005950	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g007310	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g008230	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g008760	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g010470	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g012190	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g013010	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g014090	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g014100	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g014260	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g014290	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc05g015780	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc05g018430	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g021100	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g021210	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc05g023930	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc05g025780	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g032640	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g039990	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g040010	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g041950	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g044590	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g046080	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g050460	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g051310	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc05g051460	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc05g053060	Solanum lycopersicum	FunTFBS, motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc05g055130	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc05g055380	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc05g056280	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc06g008130	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc06g008180	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc06g008320	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc06g010090	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc06g011310	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc06g011400	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc06g019180	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc06g035500	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc06g035580	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc06g035920	Solanum lycopersicum	FunTFBS, motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc06g036480	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc06g048570	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc06g051490	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc06g054110	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc06g068360	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc06g068690	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc06g069140	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc06g069710	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc06g071450	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc06g073120	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc06g073960	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc06g074780	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc06g074790	Solanum lycopersicum	motif, motif_CE	bZIP
