regulador	V2	regulado	especie	V5	FT
Sopen02g037700	regulates	Sopen01g002260	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g002270	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g002700	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g002980	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g003110	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g003160	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g003210	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g003310	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g003800	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g004060	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g004580	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g004640	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g004850	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g005140	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g005770	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g005890	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g006250	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g006890	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g007050	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g007470	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g007490	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g007870	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g007930	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g008570	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g009210	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g009260	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g009370	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g009540	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g010020	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g012610	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g012760	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g012830	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g012990	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g013280	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g013440	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g013500	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g014380	Solanum pennellii	motif	none
