regulador	V2	regulado	especie	V5	FT
Sopen08g025500	regulates	Sopen10g033050	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen11g001840	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen11g001990	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen11g002040	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen11g002390	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen11g003050	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen11g004950	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen11g006150	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen11g006300	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen11g007750	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen11g008840	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen11g012440	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen11g021830	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen11g024810	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen11g025320	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen11g025340	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen11g030720	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g001140	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g001160	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g002110	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g003180	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g003620	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g006960	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g008530	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g011910	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g017690	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g022110	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g022380	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g022920	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g023510	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g024140	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g025300	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g027460	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g027530	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g029120	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g029700	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g031660	Solanum pennellii	motif	none
Sopen08g025500	regulates	Sopen12g032240	Solanum pennellii	motif	none
Sopen08g028510	regulates	Sopen08g025500	Solanum pennellii	motif	none
Sopen10g030870	regulates	Sopen08g025500	Solanum pennellii	motif	none
Sopen11g006040	regulates	Sopen08g025500	Solanum pennellii	motif	none
Sopen11g017570	regulates	Sopen08g025500	Solanum pennellii	motif	none
